text,ml_prediction,llm_prediction
"Contains eggs, gluten, milk, nuts","Eggs - indexes: [9,13] - text: eggs
Gluten - indexes: [15,21] - text: gluten
Dairy - indexes: [23,27] - text: milk
Nuts - indexes: [29,33] - text: nuts","For the input `Contains eggs, gluten, milk, nuts`, I'll analyze it according to the guidelines:

```
Span: ""Contains eggs""
Word or Label Denoting Allergen: ""eggs""
Allergen Category: ""Eggs""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' indicator.""

Span: ""Contains eggs, gluten""
Word or Label Denoting Allergen: ""gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' indicator.""

Span: ""eggs, gluten, milk""
Word or Label Denoting Allergen: ""milk""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' indicator.""

Span: ""gluten, milk, nuts""
Word or Label Denoting Allergen: ""nuts""
Allergen Category: ""Nuts""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' indicator.""
```

This analysis is based on:
1. The presence of ""Contains"" as an explicit allergen indicator
2. Each allergen is clearly stated
3. All allergens have high certainty as they are explicitly labeled as allergens
4. Each allergen is categorized according to the provided allergen categories
5. Context spans include up to 3 words before and after each allergen term"
"Contains:
Milk, Mustard, Sulphur Dioxide/Sulphites, Cereals with Gluten (Wheat)","Dairy - indexes: [10,14] - text: Milk
Mustard - indexes: [16,23] - text: Mustard
Sulphites - indexes: [25,50] - text: Sulphur Dioxide/Sulphites
Gluten - indexes: [65,71] - text: Gluten
Wheat - indexes: [73,78] - text: Wheat","Let me analyze the provided menu item text for explicitly labeled allergens.

The input text starts with ""Contains:"" which is an explicit allergen label format, followed by several allergens. I'll analyze each one:

```
Span: ""Contains: Milk""
Word or Label Denoting Allergen: ""Milk""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Contains: Milk, Mustard""
Word or Label Denoting Allergen: ""Mustard""
Allergen Category: ""Mustard""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Contains: Milk, Mustard, Sulphur Dioxide/Sulphites""
Word or Label Denoting Allergen: ""Sulphur Dioxide/Sulphites""
Allergen Category: ""Sulphites""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Cereals with Gluten (Wheat)""
Word or Label Denoting Allergen: ""Wheat""
Allergen Category: ""Wheat""
Certainty: ""High""
Explanation: ""Explicitly listed as a gluten-containing cereal""

Span: ""Cereals with Gluten (Wheat)""
Word or Label Denoting Allergen: ""Gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly listed as an allergen""
```"
"May contain:
Celery, Eggs, Sesame Seeds","Celery and Celeriac - indexes: [13,19] - text: Celery
Eggs - indexes: [21,25] - text: Eggs
Sesame - indexes: [27,39] - text: Sesame Seeds","For the provided input:
`May contain:
Celery, Eggs, Sesame Seeds`

Analysis:

```
Span: ""May contain: Celery""
Word or Label Denoting Allergen: ""Celery""
Allergen Category: ""Celery and Celeriac""
Certainty: ""Low""
Explanation: ""Listed under 'may contain' which indicates potential presence""

Span: ""May contain: Celery, Eggs""
Word or Label Denoting Allergen: ""Eggs""
Allergen Category: ""Eggs""
Certainty: ""Low""
Explanation: ""Listed under 'may contain' which indicates potential presence""

Span: ""May contain: Celery, Eggs, Sesame Seeds""
Word or Label Denoting Allergen: ""Sesame Seeds""
Allergen Category: ""Sesame""
Certainty: ""Low""
Explanation: ""Listed under 'may contain' which indicates potential presence""
```

The text contains allergens explicitly labeled in an allergen format (""May contain:""), so all three items are extracted. The certainty is marked as ""Low"" for all entries due to the ""May contain"" qualifier, which indicates potential rather than definite presence of these allergens."
"Cumberland sausages, wholegrain mustard & bacon mash with
caramelised onion gravy","Mustard - indexes: [32,39] - text: mustard","For the given menu item:
`Cumberland sausages, wholegrain mustard & bacon mash with caramelised onion gravy`

```
No Allergens Found
```

Explanation: While this menu item contains mustard, which is a known allergen, it is not explicitly labeled as an allergen (e.g., there's no ""Allergens:"" prefix or similar allergen formatting). The mustard is mentioned as part of the ingredient description, not as an allergen declaration. Following the guidelines, we should only extract allergens that are explicitly presented in allergen format, so the correct output is ""No Allergens Found""."
"(with Onions, Carrots, Baby Corn & Bamboo Shoots),Nuts","Nuts - indexes: [50,54] - text: Nuts","For the input: `(with Onions, Carrots, Baby Corn & Bamboo Shoots),Nuts`

Since ""Nuts"" appears as a standalone term without being explicitly labeled as an allergen (e.g., no ""Allergens:"", ""Contains:"", or similar prefix), and is not in a clear allergen format, the correct output according to the guidelines would be:

```
No Allergens Found
```

Explanation: While ""Nuts"" is mentioned in the text, it's not presented in an explicit allergen format (e.g., ""Allergens: Nuts"" or ""Contains: Nuts""). According to guideline #1, we should only extract allergens that are explicitly presented in allergen format. Since this appears to be part of a general ingredient or menu item description rather than an explicit allergen label, we treat this as a case where no allergens are explicitly labeled, resulting in ""No Allergens Found""."
"Contains: Gluten (Wheat), Soya, Eggs, Milk, Sulphur Dioxide/Sulphites","Gluten - indexes: [10,16] - text: Gluten
Wheat - indexes: [18,23] - text: Wheat
Soybeans - indexes: [26,30] - text: Soya
Eggs - indexes: [32,36] - text: Eggs
Dairy - indexes: [38,42] - text: Milk
Sulphites - indexes: [44,59] - text: Sulphur Dioxide
Sulphites - indexes: [60,69] - text: Sulphites","I'll analyze the provided menu item text according to the guidelines.

For the input: `Contains: Gluten (Wheat), Soya, Eggs, Milk, Sulphur Dioxide/Sulphites`

```
Span: ""Contains: Gluten (Wheat)""
Word or Label Denoting Allergen: ""Gluten (Wheat)""
Allergen Category: ""Gluten, Wheat""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Contains: Gluten (Wheat), Soya""
Word or Label Denoting Allergen: ""Soya""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Wheat), Soya, Eggs, Milk""
Word or Label Denoting Allergen: ""Eggs""
Allergen Category: ""Eggs""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Soya, Eggs, Milk, Sulphur""
Word or Label Denoting Allergen: ""Milk""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Milk, Sulphur Dioxide/Sulphites""
Word or Label Denoting Allergen: ""Sulphur Dioxide/Sulphites""
Allergen Category: ""Sulphites""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""
```

All allergens are explicitly labeled with ""Contains:"" and are therefore extracted with high certainty. Each allergen is listed separately with its relevant context span and appropriate categorization according to the standard allergen categories provided in the guidelines."
140. Mixed Vegetables in Yellow Bean Sauce,"Soybeans - indexes: [37,42] - text: Sauce","For the menu item ""140. Mixed Vegetables in Yellow Bean Sauce"", my analysis is:

```
No Allergens Found
```

Explanation: The menu item text does not contain any explicitly labeled allergens or allergen formatting. While the dish contains ""Yellow Bean Sauce"" which might contain allergens like soybeans, this is not explicitly labeled as an allergen (e.g., through ""Contains:"" or ""Allergens:"" labels). Following the guidelines, we only extract allergens that are explicitly presented in allergen format, so ""No Allergens Found"" is the appropriate output."
"Contains: Molluscs, Gluten","Molluscs - indexes: [10,18] - text: Molluscs
Gluten - indexes: [20,26] - text: Gluten","I'll analyze the menu item text according to the provided guidelines.

For the input: `Contains: Molluscs, Gluten`

```
Span: ""Contains: Molluscs, Gluten""
Word or Label Denoting Allergen: ""Molluscs""
Allergen Category: ""Molluscs""
Certainty: ""High""
Explanation: ""Molluscs is explicitly labeled as an allergen after 'Contains:'""

Span: ""Contains: Molluscs, Gluten""
Word or Label Denoting Allergen: ""Gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Gluten is explicitly labeled as an allergen after 'Contains:'""
```

This analysis is based on:
1. The text contains explicit allergen labeling with ""Contains:""
2. Two allergens are clearly identified: Molluscs and Gluten
3. Both allergens have high certainty as they are explicitly labeled as allergens
4. The context span includes the full relevant phrase for both allergens
5. Both allergens match the specified allergen categories from the guidelines
6. The format clearly indicates these are allergen declarations, not ingredient listings"
"Sweet chimney cone filled with toffee caramel, apples topped with caramel sauce. Choice of ice cream. Allergens: Wheat, Milk and Soybeans","Wheat - indexes: [113,118] - text: Wheat
Dairy - indexes: [120,124] - text: Milk
Soybeans - indexes: [129,137] - text: Soybeans","I'll analyze the provided menu item text according to the guidelines.

For the input: `Sweet chimney cone filled with toffee caramel, apples topped with caramel sauce. Choice of ice cream. Allergens: Wheat, Milk and Soybeans`

Since there are explicitly labeled allergens following ""Allergens:"", I'll extract each one:

```
Span: ""Allergens: Wheat, Milk and""
Word or Label Denoting Allergen: ""Wheat""
Allergen Category: ""Wheat""
Certainty: ""High""
Explanation: ""Wheat is explicitly listed after 'Allergens:' label.""

Span: ""Allergens: Wheat, Milk and""
Word or Label Denoting Allergen: ""Milk""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Milk is explicitly listed after 'Allergens:' label.""

Span: ""Milk and Soybeans""
Word or Label Denoting Allergen: ""Soybeans""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Soybeans is explicitly listed after 'Allergens:' label.""
```

The allergens are clearly labeled with the ""Allergens:"" prefix, so all entries have ""High"" certainty. Each allergen is categorized according to the provided allergen categories, with ""Milk"" being categorized under ""Dairy"" as per standard allergen classifications."
"Cooked with coconut, fresh cream & mango. Contains: Nuts, Dairy. Vegan dishes does not contain dairy","Nuts - indexes: [52,56] - text: Nuts
Dairy - indexes: [58,63] - text: Dairy
Dairy - indexes: [95,100] - text: dairy","For the input text: `Cooked with coconut, fresh cream & mango. Contains: Nuts, Dairy. Vegan dishes does not contain dairy`

Here's the analysis:

```
Span: ""Contains: Nuts, Dairy""
Word or Label Denoting Allergen: ""Nuts""
Allergen Category: ""Nuts""
Certainty: ""High""
Explanation: ""Nuts is explicitly listed after 'Contains:' label""

Span: ""Contains: Nuts, Dairy""
Word or Label Denoting Allergen: ""Dairy""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Dairy is explicitly listed after 'Contains:' label""
```

The analysis identifies two allergens that are explicitly labeled using the ""Contains:"" format. While coconut and cream are mentioned in the ingredient list, they are not explicitly labeled as allergens, so they are not included in the extraction. The statement about vegan dishes is informational and not an allergen label, so it's also not included in the extraction."
"Starters : ART OF SIAM MIXED STARTER PLATTER (2,3,4,5,8,11,12,13) (Chicken Satay, Thai Fish Cake, Chicken Spring Roll, Prawn and Chicken Toast, Pork Spare Rib and Sweet Crispy Rice Noodle) Main Course: Chicken Green Curry (G), Stir-fried Chicken with Cashew nuts (G,2,3,4,8,10,13), Stir-fried Egg Noodle (2,4,12,13), Thai Steamed Rice","Fish - indexes: [87,91] - text: Fish
Gluten - indexes: [223,224] - text: G
Nuts - indexes: [258,262] - text: nuts
Gluten - indexes: [264,265] - text: G","For the provided menu item text, while there are numbers in parentheses that appear to be allergen codes, there's no explicit allergen labeling system or key provided to definitively interpret these numbers as specific allergens. Additionally, while ingredients like ""Cashew nuts"" are mentioned, they're not explicitly labeled as allergens.

Therefore, following the strict guidelines about only including explicitly labeled allergens:

```
No Allergens Found
```

Explanation of this decision:
1. The numbers in parentheses (2,3,4,5,8,11,12,13) and (G,2,3,4,8,10,13) lack an explicit allergen labeling system or key to interpret them.
2. While ""G"" appears in parentheses, there's no clear indication that this represents an allergen label.
3. Although ingredients like ""Cashew nuts"" are present in the dish description, they're not explicitly labeled as allergens.
4. The text doesn't contain standard allergen formatting like ""Allergens:"", ""Contains:"", or other clear allergen indicators.

To properly identify allergens, the menu would need to either:
- Include an allergen key explaining what the numbers represent
- Use explicit allergen labeling (e.g., ""Contains: Nuts"")
- Use standard allergen notation with clear identification"
"Egg fried rice Contains: Soya , Gluten , Eggs","Eggs - indexes: [0,3] - text: Egg
Fish - indexes: [15,23] - text: Contains
Soybeans - indexes: [25,29] - text: Soya
Gluten - indexes: [32,38] - text: Gluten
Eggs - indexes: [41,45] - text: Eggs","For the input menu item ""Egg fried rice Contains: Soya , Gluten , Eggs"", I'll analyze and extract the explicitly labeled allergens:

```
Span: ""Contains: Soya""
Word or Label Denoting Allergen: ""Soya""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Contains: Soya , Gluten""
Word or Label Denoting Allergen: ""Gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Contains: Soya , Gluten , Eggs""
Word or Label Denoting Allergen: ""Eggs""
Allergen Category: ""Eggs""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""
```

Note: While ""Egg"" appears in the dish name ""Egg fried rice"", it was only extracted when explicitly labeled as an allergen after ""Contains:"". The mention in the dish name is not considered as it's not in allergen format."
"Super spicy wok fried fresh flat rice noodle dish (aka 'Drunken Noodles') served with prawns, egg, mushrooms, aubergines, fine beans, Thai basil & chillies","Eggs - indexes: [94,97] - text: egg","For the provided menu item:
`Super spicy wok fried fresh flat rice noodle dish (aka 'Drunken Noodles') served with prawns, egg, mushrooms, aubergines, fine beans, Thai basil & chillies`

```
No Allergens Found
```

Explanation: While this menu item contains ingredients that could be allergens (prawns, egg), they are not explicitly labeled or presented in an allergen format (e.g., ""Allergens:"", ""Contains:"", or with allergen symbols/codes). They are simply listed as ingredients in the dish description. According to the guidelines, we should only extract allergens that are explicitly presented in allergen format, not those mentioned as part of general ingredient descriptions."
"Contains crustaceans, sesame, soybeans, wheat","Crustaceans - indexes: [9,20] - text: crustaceans
Sesame - indexes: [22,28] - text: sesame
Soybeans - indexes: [30,38] - text: soybeans
Wheat - indexes: [40,45] - text: wheat","For the input `Contains crustaceans, sesame, soybeans, wheat`, I'll analyze it according to the guidelines:

```
Span: ""Contains crustaceans""
Word or Label Denoting Allergen: ""crustaceans""
Allergen Category: ""Crustaceans""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' indicator.""

Span: ""Contains crustaceans, sesame""
Word or Label Denoting Allergen: ""sesame""
Allergen Category: ""Sesame""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' indicator.""

Span: ""crustaceans, sesame, soybeans""
Word or Label Denoting Allergen: ""soybeans""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' indicator.""

Span: ""sesame, soybeans, wheat""
Word or Label Denoting Allergen: ""wheat""
Allergen Category: ""Wheat""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' indicator.""
```

The allergens are explicitly labeled with ""Contains"" at the beginning, making them clear allergen declarations. Each allergen is listed separately with high certainty as they are unambiguously presented as allergens."
"2 Poppadoms, Pickle Tray, Balti Hut Sizzler for 2, Chicken Tikka Masala, Meat Balti, Saag Paneer, Pilau Rice, Naan and 2 Chapattis Suitable for Vegetarian Suitable for Vegans Contains: Milk Products, Nuts, Glutens,","Dairy - indexes: [185,189] - text: Milk
Nuts - indexes: [200,204] - text: Nuts
Gluten - indexes: [206,213] - text: Glutens","For the provided menu item text, I'll analyze it for explicitly labeled allergens:

The text contains an explicit allergen section with ""Contains: Milk Products, Nuts, Glutens""

```
Span: ""Contains: Milk Products""
Word or Label Denoting Allergen: ""Milk Products""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Contains: Milk Products, Nuts""
Word or Label Denoting Allergen: ""Nuts""
Allergen Category: ""Nuts""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Contains: Milk Products, Nuts, Glutens""
Word or Label Denoting Allergen: ""Glutens""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""
```

Note: While the menu item contains ingredients that might be allergens (like ""Saag Paneer"" which contains dairy), I've only included the explicitly labeled allergens that appear after the ""Contains:"" statement, as per the guidelines. The allergens are listed with high certainty as they are clearly marked with an allergen label."
Contains: Milk / Lactose,"Dairy - indexes: [10,14] - text: Milk
Dairy - indexes: [17,24] - text: Lactose","For the input `Contains: Milk / Lactose`, I'll analyze it according to the guidelines:

```
Span: ""Contains: Milk / Lactose""
Word or Label Denoting Allergen: ""Milk""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Milk is explicitly labeled as an allergen with 'Contains:' prefix.""

Span: ""Contains: Milk / Lactose""
Word or Label Denoting Allergen: ""Lactose""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Lactose is explicitly labeled as an allergen with 'Contains:' prefix and is a dairy allergen indicator.""
```

This analysis is based on:
1. The text contains explicit allergen labeling with ""Contains:""
2. Both ""Milk"" and ""Lactose"" are identified as dairy allergens
3. The certainty is ""High"" because they are explicitly labeled as allergens
4. Both terms are included as separate entries since they represent the same allergen category but are distinctly listed
5. The context span includes the full allergen statement as it's a short, complete phrase"
