text,current_prediction,suggested_correction,reason
"Contains crustaceans, sesame, soybeans, wheat","Crustaceans - indexes: [9,20] - text: crustaceans
Sesame - indexes: [22,28] - text: sesame
Soybeans - indexes: [30,38] - text: soybeans
Wheat - indexes: [40,45] - text: wheat",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Warm chocolate chip cookie dough made with gluten free oats, with a melting chocolate middle, served with vanilla gelato and caramel sauce","Gluten - indexes: [55,59] - text: oats",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Contains Sesame Oyster / Mussels Nuts,"Sesame - indexes: [9,15] - text: Sesame
Molluscs - indexes: [16,22] - text: Oyster
Molluscs - indexes: [25,32] - text: Mussels
Nuts - indexes: [33,37] - text: Nuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"The most well-known Thai Noodles Dish made of Rice Noodles, stir-fried with Eggs, Bean Sprouts, Spring Onions & Carrots, served with Lemon Wedges & Crushed Peanuts. Contains: Cereals containing Gluten, Eggs, Fish, Peanuts & Soyabeans. Vegetarian option available on request.","Eggs - indexes: [76,80] - text: Eggs
Peanuts - indexes: [156,163] - text: Peanuts
Gluten - indexes: [165,173] - text: Contains
Gluten - indexes: [175,200] - text: Cereals containing Gluten
Eggs - indexes: [202,206] - text: Eggs
Fish - indexes: [208,212] - text: Fish
Peanuts - indexes: [214,221] - text: Peanuts
Soybeans - indexes: [224,233] - text: Soyabeans","[{'span': 'Contains: Cereals containing Gluten, Eggs, Fish, Peanuts & Soyabeans.', 'allergen': 'Cereals containing Gluten', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Cereals containing Gluten, Eggs, Fish, Peanuts & Soyabeans.', 'allergen': 'Eggs', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Cereals containing Gluten, Eggs, Fish, Peanuts & Soyabeans.', 'allergen': 'Fish', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Cereals containing Gluten, Eggs, Fish, Peanuts & Soyabeans.', 'allergen': 'Peanuts & Soyabeans', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}]","Mismatch between predicted allergens {'206] - text: Eggs\nFish - indexes: [208', '212] - text: Fish\nPeanuts - indexes: [214', '80] - text: Eggs\nPeanuts - indexes: [156', '221] - text: Peanuts\nSoybeans - indexes: [224', '200] - text: Cereals containing Gluten\nEggs - indexes: [202', '173] - text: Contains\nGluten - indexes: [175', '163] - text: Peanuts\nGluten - indexes: [165', '233] - text: Soyabeans', 'Eggs - indexes: [76'} and extracted allergens {'Fish', 'Eggs', 'Peanuts & Soyabeans', 'Cereals containing Gluten'}"
"Contains eggs, fish, mustard, sulphur dioxide/sulphites","Eggs - indexes: [9,13] - text: eggs
Fish - indexes: [15,19] - text: fish
Mustard - indexes: [21,28] - text: mustard
Sulphites - indexes: [30,55] - text: sulphur dioxide/sulphites",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Hot, Contain celery & Peanuts or cashew nuts","Celery and Celeriac - indexes: [13,19] - text: celery
Peanuts - indexes: [22,29] - text: Peanuts
Nuts - indexes: [33,44] - text: cashew nuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"King Prawn, Chicken, Beef & Char Siu","Crustaceans - indexes: [5,10] - text: Prawn",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains Nuts, Peanuts & Almonds. If You Possess Any Food Allergies Or Intolerances, It Is Advisable To Contact The Restaurant Prior To Placing Your Order. Refrain From Ordering If You Are Unable To Obtain The Necessary Allergy Information.","Nuts - indexes: [9,13] - text: Nuts
Peanuts - indexes: [15,22] - text: Peanuts
Nuts - indexes: [25,32] - text: Almonds",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Chicken, Lamb, Lamb Chops and King Prawn in a Special Masala Sauce with Onion and Peppers. Chef Recommendation. Contains Nut","Nuts - indexes: [121,124] - text: Nut",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Topped with BBQ sauce Contains cereals containing gluten, eggs, peanuts, sesame seeds & soya","Gluten - indexes: [31,56] - text: cereals containing gluten
Eggs - indexes: [58,62] - text: eggs
Peanuts - indexes: [64,71] - text: peanuts
Sesame - indexes: [73,85] - text: sesame seeds
Soybeans - indexes: [88,92] - text: soya",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"CEREALS, MILK, EGG
Exact ingredients may differ depending on store location. Please ask the team directly if you require further information.","Gluten - indexes: [0,7] - text: CEREALS
Dairy - indexes: [9,13] - text: MILK
Eggs - indexes: [15,18] - text: EGG",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains crustaceans, fish, sulphur dioxide/sulphites, soybeans, sesame, peanuts, nuts, mustard, molluscs, milk, lupin, gluten","Crustaceans - indexes: [9,20] - text: crustaceans
Fish - indexes: [22,26] - text: fish
Sulphites - indexes: [28,53] - text: sulphur dioxide/sulphites
Soybeans - indexes: [55,63] - text: soybeans
Sesame - indexes: [65,71] - text: sesame
Peanuts - indexes: [73,80] - text: peanuts
Nuts - indexes: [82,86] - text: nuts
Mustard - indexes: [88,95] - text: mustard
Molluscs - indexes: [97,105] - text: molluscs
Dairy - indexes: [107,111] - text: milk
Lupin - indexes: [113,118] - text: lupin
Gluten - indexes: [120,126] - text: gluten",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
HUMUS AND LAMB N GF:,"Nuts - indexes: [15,16] - text: N",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Marchesi 1824 uses the finest varieties of cocoa from around the world to create its premium chocolate bars. The combination of fine Criollo cocoa from Venezuela’s Sur del Lago de Maracaibo region and high-quality I.G.P. hazelnuts from the hills of Piedmont is irresistible.
Product code: 510624036_V","Nuts - indexes: [221,230] - text: hazelnuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contain Gluten, Sesame Oil & Pork Filling","Gluten - indexes: [8,14] - text: Gluten
Sesame - indexes: [16,26] - text: Sesame Oil",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
[Se],"Sesame - indexes: [1,3] - text: Se",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Burrata, mortadella, balsamic roasted grapes, pistachios, gluten free bruschetta","Nuts - indexes: [46,56] - text: pistachios",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Hot, Contains Peanuts or Cashew nuts","Peanuts - indexes: [14,21] - text: Peanuts
Nuts - indexes: [25,36] - text: Cashew nuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
SSK: SS Prawn Balls 古虾球,"Sesame - indexes: [5,7] - text: SS
Crustaceans - indexes: [8,13] - text: Prawn",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Enjoy the perfect harmony of textures with our plant-based mock' chicken and crispy fried tofu. A delectable vegan dish that's both satisfying and full of flavor. 🌱🥢,"Soybeans - indexes: [125,126] - text: s",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Served with skin on apples. The classic flavour is our most popular. Not overly sweet or too tart so a perfect middle ground. Served with vegan shortbread crumble.
Unfortunately, we cannot cater for nut allergies or coeliacs.","Nuts - indexes: [199,202] - text: nut",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Cereals containing gluten Molluscs Soya,"Gluten - indexes: [0,25] - text: Cereals containing gluten
Molluscs - indexes: [26,34] - text: Molluscs
Soybeans - indexes: [35,39] - text: Soya",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Caramel ice cream with a caramel swirl & chocolatey caramel chunks,"Dairy - indexes: [12,17] - text: cream",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Home-made Thai style roast duck cut into slices cooked with pineapple, rambutans, kaffir lime leaves, Thai eggplant & red curry paste (contains shrimp paste - not suitable for vegans)","Crustaceans - indexes: [144,150] - text: shrimp",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains gluten, milk, sulphur dioxide/sulphites","Gluten - indexes: [9,15] - text: gluten
Dairy - indexes: [17,21] - text: milk
Sulphites - indexes: [23,38] - text: sulphur dioxide
Sulphites - indexes: [39,48] - text: sulphites",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Allergens: Molluscs (Squid).,"Molluscs - indexes: [11,19] - text: Molluscs
Molluscs - indexes: [21,26] - text: Squid","[{'span': 'Allergens: Molluscs (Squid).', 'allergen': 'Molluscs (Squid)', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}]","Mismatch between predicted allergens {'26] - text: Squid', '19] - text: Molluscs\nMolluscs - indexes: [21', 'Molluscs - indexes: [11'} and extracted allergens {'Molluscs (Squid)'}"
"Barbecued lamb or chicken cooked in pure butter ghee with ground almonds and a touch of ground coconuts, blended in with a kiss of gravy, a smooth and creamy dish. Highly recommended for first timer","Nuts - indexes: [65,72] - text: almonds",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Kukuri literally means Crispy, Crunchy.
Crispy okra fries comes with mint chutney.
Contains sulfur, Dairy.","Sulphites - indexes: [92,98] - text: sulfur
Dairy - indexes: [100,105] - text: Dairy",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Contain king prawn.,"Crustaceans - indexes: [8,12] - text: king
Crustaceans - indexes: [13,18] - text: prawn",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
King Prawn Fried Rice,"Crustaceans - indexes: [0,4] - text: King
Crustaceans - indexes: [5,10] - text: Prawn",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"(Cooked in a Thick, Hot & Pungent Flavour with a Blend of Galangal, Turmeric, Shallot, Lemon Grass, Chilli & Shrimp Paste), Hot","Crustaceans - indexes: [109,115] - text: Shrimp",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Millionaires Flapjack
Flapjack topped with a caramel fudge and milk chocolate.
Ingredients: Flapjack base (Gluten Free OATflakes, Salted Butter (MILK), Inverted Sugar Syrup, Light Brown Sugar), Fudge (33.3%) (Condensed MILK, Light Brown Sugar, White Chocolate (Sugar, Cocoa Butter, Whole MILK Powder, Emulsifier: SOYA Lecithin, Natural Vanilla Flavouring), MILK Chocolate (8.7%)(Sugar, Cocoa Butter, Whole MILK Powder, Cocoa Mass, Emulsifier: SOYA Lecithin (E322), Natural Vanilla Flavouring). Milk Chocolate contains: Cocoa Solids 33.6% minimum.
Nutritional values per 100g: Energy 1977Kj / 472Kcal, Fat 24g of which saturates 15g, Carbohydrates 56g of which sugars 39g, Protein 4.4g, Salt 0. 51g.
For allergens, see ingredients in CAPITALS. Made in a bakery that handles TREENUTS, PEANUTS, EGG, MILK, SOYA, SULPHITES
Flapjackery, Tavistock, PL19 9AZ T: 01822 258008
E: enquiries@flapjackery.co.uk
www.flapjackery.co.uk","Dairy - indexes: [63,67] - text: milk
Dairy - indexes: [145,149] - text: MILK
Dairy - indexes: [219,223] - text: MILK
Dairy - indexes: [288,292] - text: MILK
Soybeans - indexes: [313,317] - text: SOYA
Dairy - indexes: [357,361] - text: MILK
Dairy - indexes: [406,410] - text: MILK
Soybeans - indexes: [443,447] - text: SOYA
Dairy - indexes: [494,498] - text: Milk
Nuts - indexes: [773,781] - text: TREENUTS
Peanuts - indexes: [783,790] - text: PEANUTS
Eggs - indexes: [792,795] - text: EGG
Dairy - indexes: [797,801] - text: MILK
Soybeans - indexes: [803,807] - text: SOYA
Sulphites - indexes: [809,818] - text: SULPHITES","[{'span': 'contains: Cocoa Solids 33.', 'allergen': 'Cocoa Solids 33', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}]","Mismatch between predicted allergens {'Dairy - indexes: [63', '67] - text: milk\nDairy - indexes: [145', '292] - text: MILK\nSoybeans - indexes: [313', '807] - text: SOYA\nSulphites - indexes: [809', '317] - text: SOYA\nDairy - indexes: [357', '801] - text: MILK\nSoybeans - indexes: [803', '818] - text: SULPHITES', '149] - text: MILK\nDairy - indexes: [219', '361] - text: MILK\nDairy - indexes: [406', '781] - text: TREENUTS\nPeanuts - indexes: [783', '498] - text: Milk\nNuts - indexes: [773', '223] - text: MILK\nDairy - indexes: [288', '795] - text: EGG\nDairy - indexes: [797', '790] - text: PEANUTS\nEggs - indexes: [792', '410] - text: MILK\nSoybeans - indexes: [443', '447] - text: SOYA\nDairy - indexes: [494'} and extracted allergens {'Cocoa Solids 33'}"
Jalapeno Poppers (4 pieces),"Nuts - indexes: [9,16] - text: Poppers",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"King prawn, chicken, roast pork, and beef. Contain peanuts and cashew nuts. (+50p extra)
Contain peanuts or cashew nuts - Hot-Spicy","Crustaceans - indexes: [0,10] - text: King prawn
Peanuts - indexes: [51,58] - text: peanuts
Nuts - indexes: [63,74] - text: cashew nuts
Peanuts - indexes: [97,104] - text: peanuts
Nuts - indexes: [108,119] - text: cashew nuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Allergen: Fish, Wheat, Egg, Soya, Sesame Oil, Sulphite.","Fish - indexes: [10,14] - text: Fish
Wheat - indexes: [16,21] - text: Wheat
Eggs - indexes: [23,26] - text: Egg
Soybeans - indexes: [28,32] - text: Soya
Sesame - indexes: [34,44] - text: Sesame Oil
Sulphites - indexes: [46,54] - text: Sulphite","[{'span': 'Allergen: Fish, Wheat, Egg, Soya, Sesame Oil, Sulphite.', 'allergen': 'Fish', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergen: Fish, Wheat, Egg, Soya, Sesame Oil, Sulphite.', 'allergen': 'Wheat', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergen: Fish, Wheat, Egg, Soya, Sesame Oil, Sulphite.', 'allergen': 'Egg', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergen: Fish, Wheat, Egg, Soya, Sesame Oil, Sulphite.', 'allergen': 'Soya', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergen: Fish, Wheat, Egg, Soya, Sesame Oil, Sulphite.', 'allergen': 'Sesame Oil', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergen: Fish, Wheat, Egg, Soya, Sesame Oil, Sulphite.', 'allergen': 'Sulphite', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}]","Mismatch between predicted allergens {'21] - text: Wheat\nEggs - indexes: [23', '54] - text: Sulphite', '14] - text: Fish\nWheat - indexes: [16', '32] - text: Soya\nSesame - indexes: [34', '26] - text: Egg\nSoybeans - indexes: [28', '44] - text: Sesame Oil\nSulphites - indexes: [46', 'Fish - indexes: [10'} and extracted allergens {'Sulphite', 'Egg', 'Wheat', 'Soya', 'Fish', 'Sesame Oil'}"
Luxury Chocolate Peanut Butter Stack,"Peanuts - indexes: [17,23] - text: Peanut
Dairy - indexes: [24,30] - text: Butter",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Ingredients
Food Allergen Alert - Soy","Soybeans - indexes: [34,37] - text: Soy",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"One Platter stand for 2 peoples
prawn tempura, Thai fish cake, chicken satay,Prawns and chicken Toast, Spring rolls, and Thai chicken tacos,
Allergy advice. G,S,SE,E,F,C,MO","Gluten - indexes: [157,158] - text: G
Soybeans - indexes: [159,160] - text: S
Sesame - indexes: [161,163] - text: SE
Eggs - indexes: [164,165] - text: E
Fish - indexes: [166,167] - text: F
Crustaceans - indexes: [168,169] - text: C
Molluscs - indexes: [170,172] - text: MO",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Allergy Notice
All dishes may contain traces of the following allergens: Gluten, Crustaceans, Eggs, Fish, Peanuts, Soybeans, Milk, Nuts (e.g. almonds, hazelnuts, walnuts, cashews, pecan nuts, Brazil nuts, pistachio nuts, macadamia nuts), Celery, Mustard, Sesame, Sulphur dioxide/sulphites, Lupin, Molluscs. For any questions regarding the allergen contents of specific dishes please contact the restaurant directly.
Return to item info","Gluten - indexes: [73,79] - text: Gluten
Crustaceans - indexes: [81,92] - text: Crustaceans
Eggs - indexes: [94,98] - text: Eggs
Fish - indexes: [100,104] - text: Fish
Peanuts - indexes: [106,113] - text: Peanuts
Soybeans - indexes: [115,123] - text: Soybeans
Dairy - indexes: [125,129] - text: Milk
Nuts - indexes: [131,135] - text: Nuts
Nuts - indexes: [142,149] - text: almonds
Nuts - indexes: [151,160] - text: hazelnuts
Nuts - indexes: [162,169] - text: walnuts
Nuts - indexes: [171,178] - text: cashews
Nuts - indexes: [180,190] - text: pecan nuts
Nuts - indexes: [192,203] - text: Brazil nuts
Nuts - indexes: [205,219] - text: pistachio nuts
Nuts - indexes: [221,235] - text: macadamia nuts
Celery and Celeriac - indexes: [238,244] - text: Celery
Mustard - indexes: [246,253] - text: Mustard
Sesame - indexes: [255,261] - text: Sesame
Sulphites - indexes: [263,278] - text: Sulphur dioxide
Sulphites - indexes: [279,288] - text: sulphites
Lupin - indexes: [290,295] - text: Lupin
Molluscs - indexes: [297,305] - text: Molluscs","[{'span': 'allergens: Gluten, Crustaceans, Eggs, Fish, Peanuts, Soybeans, Milk, Nuts (e.', 'allergen': 'Gluten', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'allergens: Gluten, Crustaceans, Eggs, Fish, Peanuts, Soybeans, Milk, Nuts (e.', 'allergen': 'Crustaceans', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'allergens: Gluten, Crustaceans, Eggs, Fish, Peanuts, Soybeans, Milk, Nuts (e.', 'allergen': 'Eggs', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'allergens: Gluten, Crustaceans, Eggs, Fish, Peanuts, Soybeans, Milk, Nuts (e.', 'allergen': 'Fish', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'allergens: Gluten, Crustaceans, Eggs, Fish, Peanuts, Soybeans, Milk, Nuts (e.', 'allergen': 'Peanuts', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'allergens: Gluten, Crustaceans, Eggs, Fish, Peanuts, Soybeans, Milk, Nuts (e.', 'allergen': 'Soybeans', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'allergens: Gluten, Crustaceans, Eggs, Fish, Peanuts, Soybeans, Milk, Nuts (e.', 'allergen': 'Milk', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'allergens: Gluten, Crustaceans, Eggs, Fish, Peanuts, Soybeans, Milk, Nuts (e.', 'allergen': 'Nuts (e', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}]","Mismatch between predicted allergens {'305] - text: Molluscs', '160] - text: hazelnuts\nNuts - indexes: [162', '135] - text: Nuts\nNuts - indexes: [142', '261] - text: Sesame\nSulphites - indexes: [263', '149] - text: almonds\nNuts - indexes: [151', '278] - text: Sulphur dioxide\nSulphites - indexes: [279', '178] - text: cashews\nNuts - indexes: [180', '190] - text: pecan nuts\nNuts - indexes: [192', '253] - text: Mustard\nSesame - indexes: [255', '92] - text: Crustaceans\nEggs - indexes: [94', '219] - text: pistachio nuts\nNuts - indexes: [221', '169] - text: walnuts\nNuts - indexes: [171', '288] - text: sulphites\nLupin - indexes: [290', '79] - text: Gluten\nCrustaceans - indexes: [81', 'Gluten - indexes: [73', '235] - text: macadamia nuts\nCelery and Celeriac - indexes: [238', '98] - text: Eggs\nFish - indexes: [100', '295] - text: Lupin\nMolluscs - indexes: [297', '203] - text: Brazil nuts\nNuts - indexes: [205', '129] - text: Milk\nNuts - indexes: [131', '244] - text: Celery\nMustard - indexes: [246', '113] - text: Peanuts\nSoybeans - indexes: [115', '123] - text: Soybeans\nDairy - indexes: [125', '104] - text: Fish\nPeanuts - indexes: [106'} and extracted allergens {'Peanuts', 'Nuts (e', 'Gluten', 'Eggs', 'Crustaceans', 'Milk', 'Fish', 'Soybeans'}"
"Allergens
Celery
Eggs
Sesame ground or whole
Soya
Sulphites
Wheat","Celery and Celeriac - indexes: [10,16] - text: Celery
Eggs - indexes: [17,21] - text: Eggs
Sesame - indexes: [22,35] - text: Sesame ground
Soybeans - indexes: [45,49] - text: Soya
Sulphites - indexes: [50,59] - text: Sulphites
Wheat - indexes: [60,65] - text: Wheat",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Puffed rice, bombay mix, mix together with tamarind chutney, coriander chutney, onions. CONTAIN SEASME SEED","Sesame - indexes: [96,102] - text: SEASME",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Homemade style crispy pastry filled (G,M,W)","Gluten - indexes: [37,38] - text: G
Dairy - indexes: [39,40] - text: M
Wheat - indexes: [41,42] - text: W","[{'span': '(G,M,W)', 'allergen': 'Molluscs', 'certainty': 'High', 'explanation': 'Shorthand code M indicates Molluscs'}]","Mismatch between predicted allergens {'40] - text: M\nWheat - indexes: [41', '42] - text: W', '38] - text: G\nDairy - indexes: [39', 'Gluten - indexes: [37'} and extracted allergens {'Molluscs'}"
"Thinly sliced pork belly and cabbage pan-fried in ginger sweet soy sauce on rice. Not overly spicy but the kick of heat is warming.
***contains gluten, sesame, soybean, sulphur dioxide/sulphites and cooking-alcohol.***","Gluten - indexes: [144,150] - text: gluten
Sesame - indexes: [152,158] - text: sesame
Soybeans - indexes: [160,167] - text: soybean
Sulphites - indexes: [169,184] - text: sulphur dioxide
Sulphites - indexes: [185,194] - text: sulphites",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Vegetable noodles stir fried with cabbage, carrots, bean sprouts, celery, bell peppers, and onions in soya sauce.
contains wheat flour - vegetarian","Wheat - indexes: [123,134] - text: wheat flour",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"6 Nigiri & 1 Roll
G
VG
SO
MT
SE
SD","Gluten - indexes: [18,19] - text: G
Soybeans - indexes: [23,25] - text: SO
Mustard - indexes: [26,28] - text: MT
Sesame - indexes: [29,31] - text: SE
Sulphites - indexes: [32,34] - text: SD",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Green peas and potato curry in a tomato base gravy.
vegan - contains mustard seeds","Mustard - indexes: [69,82] - text: mustard seeds",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Strips of chicken tikka or lamb tikka cooked with a touch of spinach, green pepper and naga, served with our own special sauce. Slightly hot. Contains Diary.","Dairy - indexes: [151,156] - text: Diary",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contain Eggs, Spicy 🌶️","Nuts - indexes: [0,7] - text: Contain
Eggs - indexes: [8,12] - text: Eggs",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Indian cheese cooked with chillies in sweet chilli sauce Cereals containing gluten such as wheat, rye, barley, oats, spelt or khorasan Soybeans","Gluten - indexes: [57,82] - text: Cereals containing gluten
Wheat - indexes: [91,96] - text: wheat
Gluten - indexes: [98,101] - text: rye
Gluten - indexes: [103,109] - text: barley
Gluten - indexes: [111,115] - text: oats
Gluten - indexes: [117,122] - text: spelt
Soybeans - indexes: [135,143] - text: Soybeans",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Contains peanut oil and sesame oil.,"Peanuts - indexes: [9,15] - text: peanut
Sesame - indexes: [24,34] - text: sesame oil",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Allergy Information
For allergens including cereals containing gluten, see ingredients in CAPITALS. Produced in a factory where EGG, SESAME, NUT, SOYA and MILK are handled.","Gluten - indexes: [44,69] - text: cereals containing gluten
Eggs - indexes: [128,131] - text: EGG
Sesame - indexes: [133,139] - text: SESAME
Nuts - indexes: [141,144] - text: NUT
Soybeans - indexes: [146,150] - text: SOYA
Dairy - indexes: [155,159] - text: MILK",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Humus, Cacik and Patlican Soslu. Vegetarian Contains: Cereals Containing Gluten Milk Sesame Seeds.","Gluten - indexes: [54,79] - text: Cereals Containing Gluten
Dairy - indexes: [80,84] - text: Milk
Sesame - indexes: [85,97] - text: Sesame Seeds","[{'span': 'Contains: Cereals Containing Gluten Milk Sesame Seeds.', 'allergen': 'Cereals Containing Gluten Milk Sesame Seeds', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}]","Mismatch between predicted allergens {'Gluten - indexes: [54', '79] - text: Cereals Containing Gluten\nDairy - indexes: [80', '97] - text: Sesame Seeds', '84] - text: Milk\nSesame - indexes: [85'} and extracted allergens {'Cereals Containing Gluten Milk Sesame Seeds'}"
"ALL OUR BURGER BUNS NOW CONTAIN SESAME SEEDS.
Tempeh Tantrum with Hash Browns or Fries","Sesame - indexes: [32,44] - text: SESAME SEEDS",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
2 pieces of doughnut fried fritter served with a coconut chutney. Coconut chutney contains mustard seed.,"Mustard - indexes: [91,103] - text: mustard seed",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"(For 2 People) BBQ Spare Ribs (2), Crispy Spring Rolls (4), Sesame Prawn Toast (4), Crispy Won Ton (4) (Contains Shrimps & Chicken), Crispy Seaweed & Sweet & Sour Dip","Crustaceans - indexes: [113,120] - text: Shrimps",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Cereal Containing Gluten.,"Gluten - indexes: [0,24] - text: Cereal Containing Gluten",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
